2021-05-08 offset activeArea center? exposure bin   imgSize  filter stack?   firstZ    lastZ   N spacing currentZ
211643 ( 550, 929)  288x 220       0       10   1  288x 220   RCaMP      0  13.5878  13.7005  10  12.522  -7.6398 
213038 (   0,   0) 2048x2048       0       10   1 2048x2048   RCaMP      0  13.5878  13.7005  10  12.522  -7.6398 
215818 (   0,   0) 2048x2048       1      100   1 2048x2048     RFP      0  13.5878  13.7005  10  12.522  -7.6511 
220147 (   0,   0)  160x 160       1      100   1  160x 160     RFP      0  13.5878  13.7005  10  12.522  -7.6411 
221015 (   0,   0)  160x 160       1      100   1  160x 160     GFP      0  13.5878  13.7005  10  12.522  -7.6411 
221308 (   0,   0)  160x 160       1      100   1  160x 160     RFP      0  13.5878  13.7005  10  12.522  -7.6611 
222512 (   0,   0)  160x 160       1     1000   1  160x 160     GFP      0  13.5878  13.7005  10  12.522  -7.6711 
222948 (   0,   0)  160x 160       1      100   1  160x 160     RFP      0  13.5878  13.7005  10  12.522  -7.6805 
224201 (   0,   0)  160x 160       1      100   1  160x 160     RFP      0  13.5878  13.7005  10  12.522  -7.6605 
224651 (   0,   0)  160x 160       1      100   1  160x 160     RFP      0  13.5878  13.7005  10  12.522  -7.6485 
225447 (   0,   0)  160x 160       1     1000   1  160x 160     GFP      0  13.5878  13.7005  10  12.522  -7.6485 
225920 (   0,   0)  160x 160       1      100   1  160x 160     RFP      0  13.5878  13.7005  10  12.522  -7.6485 
231005 (   0,   0)  160x 160       1      100   1  160x 160     RFP      0  13.5878  13.7005  10  12.522  -7.6380 
231403 ( 943,1003)   44x  48       0     1000   1   44x  48     GFP      0  13.5878  13.7005  10  12.522  -7.6380 
231434 ( 943,1003)   44x  48       0       10   1   44x  48     RFP      0  13.5878  13.7005  10  12.522  -7.6380 
231653 (   0,   0)  160x 160       1      100   1  160x 160     RFP      0  13.5878  13.7005  10  12.522  -7.6380 
232401 (   0,   0)  160x 160       1      100   1  160x 160     RFP      0  13.5878  13.7005  10  12.522  -7.6380 
233146 (   0,   0)  160x 160       1       10   1  160x 160     RFP      0  13.5878  13.7005  10  12.522  -7.6380 
233149 (   0,   0)  160x 160       1       10   1  160x 160     RFP      0  13.5878  13.7005  10  12.522  -7.6380 
235329 (   0,   0)  160x 160       1      100   1  160x 160     RFP      0  13.5878  13.7005  10  12.522  -7.6180 
235456 ( 998,1050)   56x  60       0       10   1   56x  60     RFP      0  13.5878  13.7005  10  12.522  -7.6180 
