2021-08-16 offset activeArea center? exposure bin   imgSize  filter stack?   firstZ    lastZ   N spacing currentZ
145052 ( 651, 827)  860x 448       0       10   1  860x 448     RFP      0  13.5878  13.7005  10  12.522  -0.0412 
151508 (   0,   0) 1024x1024       1       10   1 1024x1024     RFP      0  13.5878  13.7005  10  12.522  -0.0412 
151648 (   0,   0) 1024x1024       1       10   1 1024x1024     RFP      0  13.5878  13.7005  10  12.522  -0.0412 
152758 (   0,   0)  256x 256       1       10   1  256x 256     RFP      0  13.5878  13.7005  10  12.522  -0.0412 
161252 (   0,   0)  160x 160       1      500   1  160x 160     RFP      0  13.5878  13.7005  10  12.522  -0.1516 
171450 (   0,   0)  160x 160       1      500   1  160x 160     RFP      0  13.5878  13.7005  10  12.522  -0.1566 
171836 (   0,   0)  160x 160       1      500   1  160x 160     RFP      0  13.5878  13.7005  10  12.522  -0.1616 
173832 (   0,   0)  160x 160       1      500   1  160x 160     RFP      0  13.5878  13.7005  10  12.522  -0.1616 
183826 (   0,   0)  160x 160       1      500   1  160x 160     RFP      0  13.5878  13.7005  10  12.522  -0.1466 
184853 (   0,   0)  160x 160       1      100   1  160x 160     RFP      0  13.5878  13.7005  10  12.522  -0.1616 
184857 (   0,   0)  160x 160       1      500   1  160x 160     RFP      0  13.5878  13.7005  10  12.522  -0.1616 
185645 (   0,   0)  160x 160       1      500   1  160x 160     RFP      0  13.5878  13.7005  10  12.522  -0.1666 
192148 (   0,   0)  160x 160       1      500   1  160x 160     RFP      0  13.5878  13.7005  10  12.522  -0.1516 
192456 (   0,   0)  160x 160       1      500   1  160x 160     RFP      0  13.5878  13.7005  10  12.522  -0.1766 
193603 (   0,   0)  160x 160       1      500   1  160x 160     RFP      0  13.5878  13.7005  10  12.522  -0.1993 
