2022-01-18 offset activeArea center? exposure bin   imgSize  filter stack?   firstZ    lastZ   N spacing currentZ
184606 (1506,1557)  512x 512       1       30   1  512x 512     RFP      0  13.5878  13.7005  10  12.522   0.1935 
184820 (1506,1557)  512x 512       1       30   1  512x 512     RFP      0  13.5878  13.7005  10  12.522   0.1935 
185115 (1506,1557)  512x 512       1       30   1  512x 512     RFP      0  13.5878  13.7005  10  12.522   0.1935 
190430 (   0,   0) 3200x3200       1       30   1 3200x3200     RFP      0  13.5878  13.7005  10  12.522   0.1910 
190432 (   0,   0) 3200x3200       1       30   1 3200x3200     RFP      0  13.5878  13.7005  10  12.522   0.1910 
191039 (   0,   0) 3200x3200       1       30   1 3200x3200     RFP      0  13.5878  13.7005  10  12.522   0.1910 
191117 (   0,   0) 3200x3200       1       30   1 3200x3200     RFP      0  13.5878  13.7005  10  12.522   0.1910 
191503 (   0,   0) 3200x3200       1       30   1 3200x3200     RFP      0  13.5878  13.7005  10  12.522   0.1910 
191521 (   0,   0) 3200x3200       1       30   1 3200x3200     RFP      0  13.5878  13.7005  10  12.522   0.1910 
193242 (   0,   0) 3200x3200       1       30   1 3200x3200     RFP      0  13.5878  13.7005  10  12.522   0.1910 
193512 (   0,   0)  512x 512       1       30   1  512x 512     RFP      0  13.5878  13.7005  10  12.522   0.1910 
